Date|Time|Location|Wind Direction|Wind Speed (kts)|Weather|Temp (â—¦C)|Humidity (%)|Rain (mm)|Pressure (hPa)
7-DEC-2017|11:00|SHERKIN ISLAND(A)|NW|13|CLOUDY|9|62|0.0|1018
7-DEC-2017|11:00|VALENTIA(A)|NW|11 Gust 28|CLOUDY|9|61|0.0|1018
7-DEC-2017|12:00|ATHENRY GALWAY(A)|W|09 Gust 23|--|6|77|0.0|1014
7-DEC-2017|12:00|BALLYHAISE CAVAN(A)|W|06|FAIR|6|83|0.0|1010
7-DEC-2017|12:00|BELMULLET(A)|NW|22 Gust 39|RECENT RAIN|7|70|0.2|1014
7-DEC-2017|12:00|CASEMENT AERODROME|W|17|CLOUDY|6|80|0.0|1011
7-DEC-2017|12:00|CLAREMORRIS(A)|W|16 Gust 26|--|6|75|0.0|1013
7-DEC-2017|12:00|CORK AIRPORT|NW|15 Gust 25|CLOUDY|7|75|0.0|1016
7-DEC-2017|12:00|DUBLIN AIRPORT|W|20|FAIR|6|77|0.0|1011
7-DEC-2017|12:00|DUNSANY MEATH(A)|W|12 Gust 23|--|6|79|0.0|1011
7-DEC-2017|12:00|FINNER DONEGAL(A)|W|25 Gust 37|MIST|7|64|0.0|1009
7-DEC-2017|12:00|GURTEEN TIPPERARY(A|W|10|FAIR|7|76|0.0|1014
7-DEC-2017|12:00|JOHNSTOWN CASTLE(A)|W|11 Gust 24|CLOUDY|7|70|0.0|1013
7-DEC-2017|12:00|KNOCK AIRPORT(P)|W|20 Gust 34|RAIN SHOWER|4|84|0.1|1013
7-DEC-2017|12:00|MACE HEAD GALWAY(A)|NW|32 Gust 44|FAIR|8|64|0.0|1014
7-DEC-2017|12:00|MALIN HEAD(A)|W|29 Gust 44|RAIN SHOWER|5|73|0.2|1006
7-DEC-2017|12:00|MARKREE SLIGO(A)|--|--|--|5|86|0.8|1011
7-DEC-2017|12:00|MOOREPARK CORK(A)|W|11|--|7|69|0.0|1015
7-DEC-2017|12:00|MT DILLON ROSCOM(A)|W|13 Gust 24|--|6|71|0.0|1012
7-DEC-2017|12:00|MULLINGAR(A)|W|09|FAIR|6|75|0.0|1012
7-DEC-2017|12:00|NEWPORT MAYO(A)|NW|23 Gust 41|--|6|74|0.1|1013
7-DEC-2017|12:00|OAK PARK CARLOW(A)|W|12 Gust 24|FAIR|6|76|0.0|1013
7-DEC-2017|12:00|PHOENIX PARK(A)|--|--|--|6|78|0.0|1011
7-DEC-2017|12:00|ROCHES POINT(A)|NW|20|FAIR|8|67|0.0|1016
7-DEC-2017|12:00|SHANNON AIRPORT|W|17 Gust 31|FAIR|8|59|0.0|1015
7-DEC-2017|12:00|SHERKIN ISLAND(A)|NW|18 Gust 29|FAIR|9|60|0.0|1018
7-DEC-2017|12:00|VALENTIA(A)|NW|17|CLOUDY|9|61|0.0|1018
7-DEC-2017|13:00|ATHENRY GALWAY(A)|W|13 Gust 29|--|7|68|0.0|1014
7-DEC-2017|13:00|BALLYHAISE CAVAN(A)|W|09|RAIN SHOWER|4|88|0.5|1010
7-DEC-2017|13:00|BELMULLET(A)|NW|16 Gust 40|RAIN SHOWER|5|70|0.1|1014
7-DEC-2017|13:00|CASEMENT AERODROME|W|18|CLOUDY|6|79|0.0|1012
7-DEC-2017|13:00|CLAREMORRIS(A)|W|12 Gust 26|--|6|78|0.0|1014
7-DEC-2017|13:00|CORK AIRPORT|W|16|CLOUDY|8|68|0.0|1017
7-DEC-2017|13:00|DUBLIN AIRPORT|W|21|FAIR|6|77|0.0|1011
7-DEC-2017|13:00|DUNSANY MEATH(A)|W|15 Gust 26|--|6|74|0.0|1011
7-DEC-2017|13:00|FINNER DONEGAL(A)|NW|26 Gust 36|RAIN SHOWER|4|86|0.2|1011
7-DEC-2017|13:00|GURTEEN TIPPERARY(A|W|15|FAIR|7|71|0.0|1014
7-DEC-2017|13:00|JOHNSTOWN CASTLE(A)|W|11 Gust 21|FAIR|7|70|0.0|1013
7-DEC-2017|13:00|KNOCK AIRPORT(P)|W|18 Gust 30|RAIN SHOWER|5|84|Trace|1013
7-DEC-2017|13:00|MACE HEAD GALWAY(A)|NW|27 Gust 47|- n/a -|7|78|0.1|1015
7-DEC-2017|13:00|MALIN HEAD(A)|NW|30 Gust 45|RAIN SHOWER|6|82|0.5|1007
7-DEC-2017|13:00|MARKREE SLIGO(A)|--|--|--|5|81|0.2|1012
7-DEC-2017|13:00|MOOREPARK CORK(A)|NW|12|--|8|64|0.0|1016
7-DEC-2017|13:00|MT DILLON ROSCOM(A)|NW|17 Gust 28|--|6|78|0.0|1012
7-DEC-2017|13:00|MULLINGAR(A)|W|09|FAIR|6|74|0.0|1012
7-DEC-2017|13:00|NEWPORT MAYO(A)|NW|24 Gust 41|--|5|80|0.2|1014
7-DEC-2017|13:00|OAK PARK CARLOW(A)|W|13|FAIR|8|73|0.0|1013
7-DEC-2017|13:00|PHOENIX PARK(A)|--|--|--|7|72|0.0|1012
7-DEC-2017|13:00|ROCHES POINT(A)|NW|16|FAIR|8|65|0.0|1016
7-DEC-2017|13:00|SHANNON AIRPORT|W|16 Gust 26|FAIR|8|57|0.0|1016
7-DEC-2017|13:00|SHERKIN ISLAND(A)|NW|19|FAIR|10|55|0.0|1018
7-DEC-2017|13:00|VALENTIA(A)|NW|15|FAIR|9|57|0.2|1019
7-DEC-2017|14:00|ATHENRY GALWAY(A)|W|14 Gust 29|--|6|75|0.0|1015
7-DEC-2017|14:00|BALLYHAISE CAVAN(A)|NW|08 Gust 26|MOD RAIN SHOWER|4|91|1.6|1012
7-DEC-2017|14:00|BELMULLET(A)|NW|18 Gust 35|RECENT DRIZZLE|7|57|Trace|1014
7-DEC-2017|14:00|CASEMENT AERODROME|W|18 Gust 28|CLOUDY|6|77|0.0|1012
7-DEC-2017|14:00|CLAREMORRIS(A)|NW|16 Gust 38|--|3|90|0.5|1015
7-DEC-2017|14:00|CORK AIRPORT|NW|20 Gust 36|FAIR|7|68|0.0|1017
7-DEC-2017|14:00|DUBLIN AIRPORT|W|18 Gust 33|RAIN SHOWER|6|74|Trace|1011
7-DEC-2017|14:00|DUNSANY MEATH(A)|W|14 Gust 28|--|5|86|0.2|1012
7-DEC-2017|14:00|FINNER DONEGAL(A)|NW|24 Gust 36|RECENT RAIN|6|66|0.2|1011
7-DEC-2017|14:00|GURTEEN TIPPERARY(A|W|13 Gust 25|RECENT RAIN|6|72|0.2|1014
7-DEC-2017|14:00|JOHNSTOWN CASTLE(A)|W|14|FAIR|8|63|0.0|1014
7-DEC-2017|14:00|KNOCK AIRPORT(P)|NW|20 Gust 34|RECENT SNOW|4|75|0.1|1014
7-DEC-2017|14:00|MACE HEAD GALWAY(A)|NW|24 Gust 47|RAIN SHOWER|6|73|Trace|1016
7-DEC-2017|14:00|MALIN HEAD(A)|W|31 Gust 43|RECENT DRIZZLE|6|67|Trace|1007
7-DEC-2017|14:00|MARKREE SLIGO(A)|--|--|--|7|59|0.1|1012
7-DEC-2017|14:00|MOOREPARK CORK(A)|W|14 Gust 26|--|7|71|0.0|1016
7-DEC-2017|14:00|MT DILLON ROSCOM(A)|W|12 Gust 26|--|5|81|0.2|1013
7-DEC-2017|14:00|MULLINGAR(A)|W|11 Gust 25|RECENT DRIZZLE|5|74|Trace|1013
7-DEC-2017|14:00|NEWPORT MAYO(A)|NW|19 Gust 39|--|5|76|0.4|1015
7-DEC-2017|14:00|OAK PARK CARLOW(A)|W|15 Gust 28|FAIR|7|68|0.0|1013
7-DEC-2017|14:00|PHOENIX PARK(A)|--|--|--|6|71|0.0|1012
7-DEC-2017|14:00|ROCHES POINT(A)|NW|21|FAIR|8|59|0.0|1016
7-DEC-2017|14:00|SHANNON AIRPORT|NW|22 Gust 32|RAIN SHOWER|7|75|0.1|1016
7-DEC-2017|14:00|SHERKIN ISLAND(A)|W|19|FAIR|9|63|0.0|1018
7-DEC-2017|14:00|VALENTIA(A)|NW|17 Gust 29|FAIR|9|49|0.0|1019
7-DEC-2017|15:00|ATHENRY GALWAY(A)|W|11 Gust 34|--|4|85|0.7|1016
7-DEC-2017|15:00|BALLYHAISE CAVAN(A)|NW|05 Gust 24|RECENT RAIN|3|92|0.5|1012
7-DEC-2017|15:00|BELMULLET(A)|NW|21 Gust 37|SHOWERY PRECIP|5|72|1.8|1015
7-DEC-2017|15:00|CASEMENT AERODROME|W|21 Gust 31|RECENT SHOWER|5|74|0.1|1012
7-DEC-2017|15:00|CLAREMORRIS(A)|W|08|--|4|84|0.0|1015
7-DEC-2017|15:00|CORK AIRPORT|W|15 Gust 26|NEARBY SHOWER|7|71|0.0|1017
7-DEC-2017|15:00|DUBLIN AIRPORT|W|19|RECENT SHOWER|5|79|Trace|1012
7-DEC-2017|15:00|DUNSANY MEATH(A)|W|15 Gust 27|--|5|82|0.0|1012
7-DEC-2017|15:00|FINNER DONEGAL(A)|NW|26 Gust 40|FAIR|6|51|0.0|1011
7-DEC-2017|15:00|GURTEEN TIPPERARY(A|NW|17 Gust 31|RAIN SHOWER|3|90|0.1|1016
7-DEC-2017|15:00|JOHNSTOWN CASTLE(A)|W|13 Gust 28|FAIR|7|64|0.0|1014
7-DEC-2017|15:00|KNOCK AIRPORT(P)|W|15 Gust 30|RECENT SNOW|3|76|Trace|1014
7-DEC-2017|15:00|MACE HEAD GALWAY(A)|NW|24 Gust 36|LIGHT RAIN|7|72|Trace|1016
7-DEC-2017|15:00|MALIN HEAD(A)|W|31 Gust 47|RECENT RAIN|5|57|0.2|1007
7-DEC-2017|15:00|MARKREE SLIGO(A)|--|--|--|6|49|0.0|1012
7-DEC-2017|15:00|MOOREPARK CORK(A)|W|09 Gust 28|--|6|75|0.0|1017
7-DEC-2017|15:00|MT DILLON ROSCOM(A)|W|12|--|5|73|0.0|1013
7-DEC-2017|15:00|MULLINGAR(A)|W|08 Gust 25|RECENT DRIZZLE|4|79|Trace|1013
7-DEC-2017|15:00|NEWPORT MAYO(A)|NW|22 Gust 36|--|5|78|0.4|1015
7-DEC-2017|15:00|OAK PARK CARLOW(A)|W|13 Gust 26|FAIR|6|69|0.0|1014
7-DEC-2017|15:00|PHOENIX PARK(A)|--|--|--|5|80|0.2|1012
7-DEC-2017|15:00|ROCHES POINT(A)|NW|20 Gust 35|FAIR|8|68|0.0|1017
7-DEC-2017|15:00|SHANNON AIRPORT|NW|19 Gust 30|RAIN SHOWER|6|74|Trace|1017
7-DEC-2017|15:00|SHERKIN ISLAND(A)|NW|19 Gust 29|FAIR|9|60|0.0|1019
7-DEC-2017|15:00|VALENTIA(A)|NW|13 Gust 28|RAIN SHOWER|8|61|Trace|1020
7-DEC-2017|16:00|ATHENRY GALWAY(A)|W|04|--|3|90|0.4|1016
7-DEC-2017|16:00|BALLYHAISE CAVAN(A)|W|05|FAIR|2|79|0.0|1012
7-DEC-2017|16:00|BELMULLET(A)|NW|20 Gust 40|RAIN SHOWER|4|73|1.7|1015
7-DEC-2017|16:00|CASEMENT AERODROME|W|13 Gust 35|FAIR|4|84|0.0|1013
7-DEC-2017|16:00|CLAREMORRIS(A)|NW|14 Gust 31|--|3|86|0.4|1015
7-DEC-2017|16:00|CORK AIRPORT|W|16|NEARBY SHOWER|6|72|0.0|1018
7-DEC-2017|16:00|DUBLIN AIRPORT|W|12 Gust 33|RECENT SHOWER|4|85|0.2|1013
7-DEC-2017|16:00|DUNSANY MEATH(A)|W|12|--|4|83|0.1|1013
7-DEC-2017|16:00|FINNER DONEGAL(A)|NW|24 Gust 45|FAIR|6|59|0.0|1011
7-DEC-2017|16:00|GURTEEN TIPPERARY(A|NW|11|LIGHT RAIN|3|86|Trace|1016
7-DEC-2017|16:00|JOHNSTOWN CASTLE(A)|NW|15 Gust 32|FAIR|6|66|0.0|1015
7-DEC-2017|16:00|KNOCK AIRPORT(P)|W|17 Gust 30|RECENT SNOW|2|87|0.1|1015
7-DEC-2017|16:00|MACE HEAD GALWAY(A)|NW|24 Gust 38|RECENT DRIZZLE|6|68|Trace|1016
7-DEC-2017|16:00|MALIN HEAD(A)|NW|33 Gust 46|RAIN SHOWER|5|63|Trace|1008
7-DEC-2017|16:00|MARKREE SLIGO(A)|--|--|--|3|85|0.6|1013
7-DEC-2017|16:00|MOOREPARK CORK(A)|W|08 Gust 21|--|5|75|0.3|1017
7-DEC-2017|16:00|MT DILLON ROSCOM(A)|W|11 Gust 25|--|4|71|0.0|1014
7-DEC-2017|16:00|MULLINGAR(A)|W|07|RECENT DRIZZLE|4|74|Trace|1013
7-DEC-2017|16:00|NEWPORT MAYO(A)|NW|19 Gust 37|--|5|68|0.6|1015
7-DEC-2017|16:00|OAK PARK CARLOW(A)|W|16|FAIR|5|73|0.0|1015
7-DEC-2017|16:00|PHOENIX PARK(A)|--|--|--|4|79|0.0|1013
7-DEC-2017|16:00|ROCHES POINT(A)|NW|19 Gust 31|FAIR|7|68|0.0|1018
7-DEC-2017|16:00|SHANNON AIRPORT|W|12 Gust 24|RECENT SHOWER|6|68|Trace|1017
7-DEC-2017|16:00|SHERKIN ISLAND(A)|NW|13 Gust 32|FAIR|8|67|0.0|1020
7-DEC-2017|16:00|VALENTIA(A)|NW|13 Gust 36|RECENT DRIZZLE|7|63|0.2|1020
7-DEC-2017|17:00|ATHENRY GALWAY(A)|W|06|--|3|85|0.0|1017
7-DEC-2017|17:00|BALLYHAISE CAVAN(A)|W|05 Gust 21|FAIR|3|79|0.0|1012
7-DEC-2017|17:00|BELMULLET(A)|NW|18 Gust 43|RAIN SHOWER|4|77|0.1|1016
7-DEC-2017|17:00|CASEMENT AERODROME|W|14|RECENT SHOWER|3|82|Trace|1013
7-DEC-2017|17:00|CLAREMORRIS(A)|NW|12|--|2|87|0.1|1016
7-DEC-2017|17:00|CORK AIRPORT|W|10 Gust 31|RECENT SHOWER|3|88|0.1|1019
7-DEC-2017|17:00|DUBLIN AIRPORT|W|15|FINE|3|80|0.0|1013
7-DEC-2017|17:00|DUNSANY MEATH(A)|W|12|--|3|82|0.0|1013
7-DEC-2017|17:00|FINNER DONEGAL(A)|NW|28 Gust 45|RECENT RAIN|6|45|0.7|1011
7-DEC-2017|17:00|GURTEEN TIPPERARY(A|SW|07|RECENT RAIN|2|90|0.1|1016
7-DEC-2017|17:00|JOHNSTOWN CASTLE(A)|W|13 Gust 24|RAIN SHOWER|5|73|Trace|1016
7-DEC-2017|17:00|KNOCK AIRPORT(P)|W|13 Gust 31|RECENT HAIL|1|90|0.1|1016
7-DEC-2017|17:00|MACE HEAD GALWAY(A)|NW|27 Gust 48|CLOUDY|6|66|0.0|1017
7-DEC-2017|17:00|MALIN HEAD(A)|NW|35 Gust 48|RAIN SHOWER|4|81|0.8|1008
7-DEC-2017|17:00|MARKREE SLIGO(A)|--|--|--|4|70|0.1|1013
7-DEC-2017|17:00|MOOREPARK CORK(A)|W|08|--|4|84|0.0|1018
7-DEC-2017|17:00|MT DILLON ROSCOM(A)|W|11 Gust 23|--|3|89|0.2|1015
7-DEC-2017|17:00|MULLINGAR(A)|W|08|CLOUDY|3|76|0.0|1014
7-DEC-2017|17:00|NEWPORT MAYO(A)|NW|19 Gust 34|--|4|75|1.1|1016
7-DEC-2017|17:00|OAK PARK CARLOW(A)|W|11|FAIR|3|79|0.0|1015
7-DEC-2017|17:00|PHOENIX PARK(A)|--|--|--|4|79|0.0|1013
7-DEC-2017|17:00|ROCHES POINT(A)|W|15 Gust 33|RECENT RAIN|5|79|0.1|1019
7-DEC-2017|17:00|SHANNON AIRPORT|NW|16 Gust 29|RAIN SHOWER|5|82|Trace|1018
7-DEC-2017|17:00|SHERKIN ISLAND(A)|W|17|FAIR|7|68|0.0|1020
7-DEC-2017|17:00|VALENTIA(A)|NW|15 Gust 27|RECENT DRIZZLE|7|68|Trace|1021
7-DEC-2017|18:00|ATHENRY GALWAY(A)|W|11|--|2|89|0.3|1017
7-DEC-2017|18:00|BALLYHAISE CAVAN(A)|W|08|RAIN SHOWER|2|82|0.2|1012
7-DEC-2017|18:00|BELMULLET(A)|NW|23 Gust 42|RECENT RAIN|5|61|0.3|1016
7-DEC-2017|18:00|CASEMENT AERODROME|W|15|FAIR|2|85|0.0|1014
7-DEC-2017|18:00|CLAREMORRIS(A)|W|11 Gust 29|--|1|92|0.6|1016
7-DEC-2017|18:00|CORK AIRPORT|W|11|RECENT SHOWER|4|87|Trace|1019
7-DEC-2017|18:00|DUBLIN AIRPORT|W|15 Gust 28|FAIR|3|77|0.0|1014
7-DEC-2017|18:00|DUNSANY MEATH(A)|W|13|--|3|78|0.0|1014
7-DEC-2017|18:00|FINNER DONEGAL(A)|NW|27 Gust 48|RAIN SHOWER|4|67|Trace|1012
7-DEC-2017|18:00|GURTEEN TIPPERARY(A|W|15|LIGHT RAIN|3|88|0.2|1017
7-DEC-2017|18:00|JOHNSTOWN CASTLE(A)|W|12|FAIR|3|79|0.0|1016
7-DEC-2017|18:00|KNOCK AIRPORT(P)|W|11 Gust 27|RECENT SNOW|1|92|1.0|1016
7-DEC-2017|18:00|MACE HEAD GALWAY(A)|NW|40 Gust 50|RAIN SHOWER|5|74|Trace|1017
7-DEC-2017|18:00|MALIN HEAD(A)|W|29 Gust 47|RECENT DRIZZLE|4|80|0.1|1008
7-DEC-2017|18:00|MARKREE SLIGO(A)|--|--|--|4|66|0.3|1014
7-DEC-2017|18:00|MOOREPARK CORK(A)|W|09 Gust 22|--|4|85|0.2|1019
7-DEC-2017|18:00|MT DILLON ROSCOM(A)|W|11|--|2|89|0.5|1015
7-DEC-2017|18:00|MULLINGAR(A)|W|08 Gust 23|SNOW SHOWER|1|90|0.6|1015
7-DEC-2017|18:00|NEWPORT MAYO(A)|NW|21 Gust 36|--|3|75|1.1|1016
7-DEC-2017|18:00|OAK PARK CARLOW(A)|W|12|FAIR|3|84|0.0|1016
7-DEC-2017|18:00|PHOENIX PARK(A)|--|--|--|3|79|0.0|1014
7-DEC-2017|18:00|ROCHES POINT(A)|W|11|FAIR|4|83|0.0|1019
7-DEC-2017|18:00|SHANNON AIRPORT|NW|14 Gust 29|RAIN SHOWER|5|79|0.1|1018
7-DEC-2017|18:00|SHERKIN ISLAND(A)|NW|16|FAIR|8|64|0.0|1021
7-DEC-2017|18:00|VALENTIA(A)|NW|17|RECENT RAIN|7|57|Trace|1021
7-DEC-2017|19:00|ATHENRY GALWAY(A)|W|10 Gust 20|--|2|90|0.5|1018
7-DEC-2017|19:00|BALLYHAISE CAVAN(A)|W|09 Gust 28|SNOW SHOWER|2|82|Trace|1013
7-DEC-2017|19:00|BELMULLET(A)|NW|20 Gust 35|RECENT RAIN|4|70|0.3|1017
7-DEC-2017|19:00|CASEMENT AERODROME|W|15 Gust 28|RECENT SHOWER|2|90|Trace|1014
7-DEC-2017|19:00|CLAREMORRIS(A)|W|09 Gust 26|--|1|90|0.1|1017
7-DEC-2017|19:00|CORK AIRPORT|W|10 Gust 32|RECENT SHOWER|3|92|0.5|1020
7-DEC-2017|19:00|DUBLIN AIRPORT|W|19|RECENT SHOWER|2|84|Trace|1014
7-DEC-2017|19:00|DUNSANY MEATH(A)|W|14|--|2|87|0.0|1014
7-DEC-2017|19:00|FINNER DONEGAL(A)|NW|24 Gust 41|RAIN SHOWER|5|63|Trace|1013
7-DEC-2017|19:00|GURTEEN TIPPERARY(A|W|13|RAIN SHOWER|2|92|0.1|1018
7-DEC-2017|19:00|JOHNSTOWN CASTLE(A)|W|10|FAIR|3|83|0.0|1017
7-DEC-2017|19:00|KNOCK AIRPORT(P)|W|13 Gust 27|RECENT SNOW|1|88|0.3|1016
7-DEC-2017|19:00|MACE HEAD GALWAY(A)|NW|32 Gust 47|RAIN SHOWER|4|78|0.1|1018
7-DEC-2017|19:00|MALIN HEAD(A)|NW|27 Gust 47|RAIN SHOWER|4|89|0.3|1009
7-DEC-2017|19:00|MARKREE SLIGO(A)|--|--|--|3|70|0.1|1014
7-DEC-2017|19:00|MOOREPARK CORK(A)|W|09 Gust 26|--|3|87|0.8|1019
7-DEC-2017|19:00|MT DILLON ROSCOM(A)|W|14 Gust 30|--|2|89|0.2|1015
7-DEC-2017|19:00|MULLINGAR(A)|W|08|SNOW SHOWER|1|89|0.3|1015
7-DEC-2017|19:00|NEWPORT MAYO(A)|NW|20 Gust 42|--|4|69|0.0|1017
7-DEC-2017|19:00|OAK PARK CARLOW(A)|W|15|RAIN SHOWER|3|84|Trace|1017
7-DEC-2017|19:00|PHOENIX PARK(A)|--|--|--|2|84|0.0|1014
7-DEC-2017|19:00|ROCHES POINT(A)|NW|14 Gust 25|RAIN SHOWER|4|85|0.1|1020
7-DEC-2017|19:00|SHANNON AIRPORT|W|18 Gust 35|RAIN SHOWER|4|83|0.4|1019
7-DEC-2017|19:00|SHERKIN ISLAND(A)|NW|20|RECENT DRIZZLE|7|67|Trace|1021
7-DEC-2017|19:00|VALENTIA(A)|NW|13 Gust 28|RECENT RAIN|6|68|0.2|1022
