Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
2099068,2015 SEE THRU CHINESE KITCHEN,2015 SEE THRU CHINESE KITCHEN,2463164,Restaurant,Risk 1 (High),609 E 79TH ST ,CHICAGO,IL,60619,10/17/2017,Complaint,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOORS AROUND, UNDER AND BEHIND FREEZERS, SINKS, STORAGE SHELVES AND PREP TABLES.CLEAN FLOOR UNDER FRYERS TO REMOVE GREASE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN WALLS AROUND FRONT EXPOSED HAND SINK AND THREE COMP SINK. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN EXTERIOR SURFACES AND BOTTOM AREA OF FRYERS, CLEAN BOTTOMS OF PREP TABLES, STORAGE CARTS, RICE COOKER AND INTERIORS OF REFRIGERATION UNITS.",41.75109661,-87.60968301,"(41.75109660725846, -87.60968300581979)"
2099063,SHRIMP'S FISH CHICKEN,SHRIMP'S FISH CHICKEN,2549497,Restaurant,Risk 2 (Medium),4355 S COTTAGE GROVE AVE ,CHICAGO,IL,60653,10/17/2017,License Re-Inspection,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments:  LABEL ALL BULK CONTAINERS IN PREP AREA.  | 2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: WALK-IN FREEZER MAINTAINING PROPER TEMPERATURE 0F | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: EXPOSED HAND SINK INSTALLED IN DISH WASHING AREA. | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: CHICAGO FOOD SANITATION CERTIFICATE PROVIDED. | 22. DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK - Comments: CHEMICAL TEST KIT PROVIDED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: SHELVING PROVIDED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS CLEANED. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: COOLERS CLEANED. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN LIGHT SHIELD IN PREP AND REAR UTILITY AREA. CLEAN CEILING VENTS IN PREP AND VENTILATION FAN IN WASHROOM(DUST BUILDUP).   | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: SELF-CLOSING DEVICE INSTALLED ON WASHROOM DOOR. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: FAUCET AND SPRAYER INSTALLED ON 3-COMPARTMENT SINK. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: UNUSED FRYERS REMOVED FROM WALK-IN COOLER.",41.81519729,-87.60653089,"(41.81519729173754, -87.60653088909952)"
2099062,BAR CARGO,BAR CARGO,2535322,Restaurant,Risk 1 (High),605-607 N WELLS ST ,CHICAGO,IL,60610,10/17/2017,License Re-Inspection,Pass,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: corrected",41.89257434,-87.6339488,"(41.8925743372172, -87.63394880128168)"
2099053,BEST BBQ II,BEST BBQ II,2458404,Restaurant,Risk 1 (High),1419 W 79TH ST ,CHICAGO,IL,60620,10/17/2017,Canvass,Out of Business,,41.75030523,-87.65940224,"(41.75030523363751, -87.65940224188564)"
2099050,GREEN MONKEY INC.,RAINFOREST LEARNING SCHOOL,1894606,Restaurant,Risk 1 (High),1325 S STATE ST ,CHICAGO,IL,60605,10/17/2017,Canvass,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Observed gap between 3 compartment sink and wall. Observed black, slimy, mold-like substance in gaps. Must regrout to fill gap between sink and wall. Must remove black substance and sanitize. Must maintain same.  | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Observed missing floor tiles in rear storage room. Must repair/replace to make smooth and easily cleanable. Must maintain same.  | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: Observed aluminium foil used as a liner on bottom shelf of center table in prep area. Must remove. All surfaces must be smooth and easily cleanable.Observe excessive rust accumulation on bottom shelf of drying rack in prep area. Must remove rust or paint to make smooth and easily cleanable. Must maintain same. ",41.86500783,-87.62722406,"(41.86500783111907, -87.62722405946376)"
2099045,LA PETITE FOLIE,LA PETITE FOLIE,69466,Restaurant,Risk 1 (High),1504 E 55TH ST ,CHICAGOCHICAGO,,60615,10/17/2017,Canvass,Pass,"31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: ALL TABLEWARE MUST BE COVERED, INVERTED OR RESET UPON CUSTOMER SEATING. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: SECURE LOOSE LIGHT SHIELD NEAR ICE MACHINE IN BASEMENT PREP AREA.",41.79530818,-87.58894079,"(41.79530818499822, -87.58894079318983)"
2099037,EAT N RUN CHICKEN AND FISH,EAT N RUN CHICKEN AND FISH,2442868,Restaurant,Risk 1 (High),8233 S ASHLAND AVE ,CHICAGO,IL,60620,10/17/2017,Canvass,No Entry,,41.74390337,-87.66312882,"(41.743903369579925, -87.6631288234479)"
2099048,GEORGIA'S FOOD DEPOT,GEORGIA'S FOOD DEPOT,2419039,Restaurant,Risk 1 (High),7352 S HALSTED ST ,CHICAGO,IL,60621,10/17/2017,Canvass,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: EVIDENCE OF MICE FOUND ON PREMISES.  OBSERVED SIXTY OR MORE MOUSE DROPPINGS ON THE FLOOR IN THE FURNACE ROOM; MUST CLEAN ALL DROPPINGS FROM THIS AREA.  INSTRUCTED TO REMOVE FLY STRIP FROM PREP AREA (CDI).  RECOMMENDED SERVICE BY THE PEST CONTROL COMPANY PRIOR TO REINSPECTION NEXT WEEK.  SERIOUS VIOLATION 7-38-020 ISSUED. | 28. * INSPECTION REPORT SUMMARY DISPLAYED AND VISIBLE TO ALL CUSTOMERS - Comments: NO INSPECTION SUMMARY POSTED AS REQUIRED.  THE PREVIOUS INSPECTION SUMMARY FROM MAY 4, 2016 WAS NOT POSTED IN PLAIN VIEW OF CUSTOMERS AS REQUIRED.  INSTRUCTED THAT THE INSPECTION SUMMARY REPORT MUST BE POSTED AT ALL TIMES.  SERIOUS VIOLATION 7-42-010(B) ISSUED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED THE RUBBER GASKETS AT THE THREE DOOR COOLER IN THE KITCHEN ARE IN POOR REPAIR; MUST REPAIR OR REPLACE GASKETS AT ALL COOLER DOORS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOOR IN FURNACE CLOSET. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: THE SELF CLOSING DEVICES AT BOTH WASHROOM DOORS ARE IN POOR REPAIR; MUST REATTACH SELF CLOSING DEVICES TO BOTH DOORS. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: FOUND THE FAUCET KNOB FOR HOT WATER AT THE FRONT EXPOSED HAND SINK STRIPPED; MUST REPAIR KNOB.  FOUND THE UTILITY SINK NOT CONNECTED TO A WATER LINE; MUST CONNECT THE UTILITY SINK PROPERLY TO A WATER LINE WITH HOT AND COLD RUNNING WATER.",41.76000277,-87.6444275,"(41.76000277235905, -87.64442750483087)"
2099034,MAY STREET GROCERIES,,2487634,Restaurant,Risk 1 (High),1122 W 63RD ST ,CHICAGO,IL,60621,10/17/2017,Canvass,Out of Business,,41.77974248,-87.65306068,"(41.7797424789354, -87.65306067555657)"
2099031,KIKUYA RESTAURANT,KIKUYA RESTAURANT,1546681,Restaurant,Risk 1 (High),1601 E 55TH ST ,CHICAGO,IL,60615,10/17/2017,Canvass,No Entry,,41.79507542,-87.58752074,"(41.79507541601845, -87.58752073558598)"
2099002,JOLLY PUMPKIN PIZZERIA & BREWERY,JOLLY PUMPKIN PIZZERIA & BREWERY,2542553,Restaurant,Risk 1 (High),5215 S HARPER AVE ,CHICAGO,IL,60616,10/17/2017,License,Pass,,41.80058037,-87.58893178,"(41.800580373689755, -87.58893178370808)"
2099028,FRANNIE'S CAFE,COLUMBIA COLLEGE / FRANNIE'S CAFE,2551098,Restaurant,Risk 2 (Medium),1104 S WABASH AVE ,CHICAGO,IL,60605,10/17/2017,License Re-Inspection,Pass,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: Violation corrected. Water temperature of women's restroom washbowl sink is 89.2F; water temperature in men's restroom washbowl sink is 85.6F.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Observed missing faucet sensor on right side of sink in women's restroom. Right side does not work. Must repair and maintain. ",41.86906252,-87.6260158,"(41.86906251655677, -87.6260157982796)"
2099027,SNAIL THAI CUISINE,SNAIL THAI CUISINE,1617795,Restaurant,Risk 1 (High),1649 E 55TH ST ,CHICAGO,IL,60615,10/17/2017,Canvass,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REPLACE DAMAGED GASKETS ON BEVERAGE REACH-IN COOLER NEAR BASEMENT AND UPRIGHT TWO-DOOR REACH-IN COOLER IN PREP AREA. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF ICE MACHINE, COOKING EQUIPMENT, SINKS, ROLLING CARTS, PREP TABLES, COOLERS AND FREEZERS. CLEAN AND MAINTAIN ALL GASKETS ON PREP AND REACH-IN COOLERS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: GROUT LOOSE FLOOR TILES IN PREP AREA. CLEAN FLOORS ALONG WALLS AND CORNERS IN BASEMENT(DEAD ROACHES). | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REPAIR LEAKING DRANIPIPE UNDER EXPOSED SINK IN PREP AREA. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: PROVIDE THERMOMETER IN PREP COOLER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELEVATE ALL STOCK OFF FLOOR IN WALK-IN FREEZER, PREP AND STORAGE AREAS. STORE MOP HEAD UPRIGHT TO PREVENT INSECT BREEDING. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: PROVIDE FOOD HANDLER TRAINING FOR ALL EMPLOYEES.",41.79510794,-87.58467767,"(41.79510794419416, -87.58467767057986)"
2099021,DS TEQUILA CO.,DS TEQUILA CO.,2542467,Restaurant,Risk 1 (High),3350-3352 N HALSTED ST ,CHICAGO,IL,60657,10/17/2017,License,Fail,,41.94331836,-87.64951476,"(41.94331835640129, -87.64951475556387)"
2099016,DS TEQUILA CO.,DS TEQUILA CO.,2542468,Restaurant,Risk 1 (High),3350-3352 N HALSTED ST ,CHICAGO,IL,60657,10/17/2017,License,Fail,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: OBSERVED SMALL FLY ACTIVITY IN BASEMENT IN CORNER BEHIND STEAMER. NOTED APPROX. 35 SMALL FLIES ON WALLS AND CEILING IN THIS AREA. INSTRUCTED TO ELIMINATE FLY ACTIVITY AND RECOMMENDED SERVICE BY LICENSED PEST CONTROL. OBSERVED APPROX. 3/4 INCH GAP ALONG TOP EDGE OF PATIO FRONT DOOR (A BEVERAGE STATION EXISTS WITHIN THE PATIO AREA WHERE DRINKS ARE PREPARED FOR SERVICE). MUST ELIMINATE GAP TO THE OUTSIDE AND MAINTAIN ALL DOORS AND WINDOWS TO BE PEST AND RODENT PROOF. SERIOUS VIOLATION: 7-38-020 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN INTERIOR OF LIGHT SHIELDS ABOVE COOK LINE. MUST CLEAN SODA GUN NOZZLES OF GRAYISH RESIDUE. MUST CLEAN STICKY RESIDUE ACCUMULATING IN BETWEEN THE COILS OF THE METAL SODA GUN PIPING THAT ATTACHES TO THE GUN HEAD. MUST CLEAN DUST ACCUMULATION ON FAN COVERS IN WALK IN COOLER AND BAR 2 DOOR UPRIGHT COOLER.  | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST NOT STORE LIQUOR BOTTLES UNDER EXPOSED SEWER LINES IN LIQUOR ROOM. MUST PROVIDE GUTTERS UNDER EXPOSED LINES OR RELOCATE BOTTLES. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPAIR WALL TO LEFT OF STEAMER UNIT IN BASEMENT, WHERE DRYWALL PANELING IS EXPOSED. MUST MAINTAIN WALLS TO BE SMOOTH, NON-ABSORBENT AND EASILY CLEANABLE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST INSTALL FAUCETS, WITH HOT AND COLD WATER UNDER CITY PRESSURE ABOVE THE TOP LOADING FROZEN DRINK MACHINES AT THE FRONT HALF OF THE BAR.  | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: MUST INSTALL A HANDSINK, WITH HOT AND COLD WATER UNDER CITY PRESSURE AT 'DS COMPANY SHOT BAR' ON PATIO, WHERE SODA GUNS AND ICE BINS ARE LOCATED FOR DRINK PREPARATION. CRITICAL VIOLATION: 7-38-030",41.94331836,-87.64951476,"(41.94331835640129, -87.64951475556387)"
2099012,TOTS LAND,TOTS LAND,2216030,Children's Services Facility,Risk 1 (High),7460 W Addison ST ,CHICAGO,IL,60634,10/17/2017,License Re-Inspection,Pass,"18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: CORRECTED (FRONT AND REAR BOTTOM DOORS HAS NOW BEEN RODENT PROOFED). | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: CORRECTED | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: INSTRUCTED TO CLEAN AND REORGANIZE REAR STORAGE OUTSIDE SHED ROOM. MUST REMOVE UNNECESSARY ARTICLES TO PREVENT PEST HARBORAGE. USABLE ITEMS MUST BE STORED 6' OFF THE FLOOR FOR EASY ACCESS ON CLEANING.",41.94523205,-87.81420343,"(41.94523205137915, -87.81420342972842)"
2099007,FIRST CHURCH OF LOVE AND FAITH,FIRST CHURCH OF LOVE AND FAITH,1379677,Restaurant,Risk 1 (High),2147 W 79TH ST ,CHICAGO,IL,60620,10/17/2017,Canvass,No Entry,,41.75006593,-87.67748987,"(41.75006593345204, -87.67748987304653)"
2099013,CUTIE PIE'S KITCHEN,CUTIE PIE'S KITCHEN,2437716,Restaurant,Risk 1 (High),752 W 78TH ST ,CHICAGO,IL,60620,10/17/2017,Canvass Re-Inspection,Pass,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: VIOLATION CORRECTED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: VIOLATION CORRECTED. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: OBSERVED TWO CURRENT FEMALE EMPLOYEES NOT HAVE IDPH FOOD HANDLER CERTIFICATES. INSTRUCTED TO PROVIDE IDPH FOOD HANDLER CERTIFICATES. | 22. DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK - Comments: VIOLATION CORRECTED. FACILITY PROVIDED CHLORINE TEST STRIPS.",41.75256556,-87.64377758,"(41.752565562880314, -87.64377758039586)"
